Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1674061200000,20849.89000000,21136.80000000,20743.53000000,20887.85000000,37531.04770000,1674064799999,785707914.78526880,643747,18435.76064000,385998817.44434050,0
1674064800000,20887.85000000,21063.52000000,20840.81000000,20936.83000000,18670.06218000,1674068399999,390906860.36706470,349595,8989.24793000,188228110.35535710,0
1674068400000,20936.37000000,20980.00000000,20881.19000000,20906.54000000,8985.84095000,1674071999999,188118834.52420570,219596,4262.40360000,89237066.43929090,0
1674072000000,20905.37000000,20938.67000000,20666.79000000,20732.60000000,15186.90879000,1674075599999,315905964.78981240,306109,7479.12844000,155586646.01237300,0
1674075600000,20731.35000000,20841.18000000,20712.96000000,20780.36000000,9302.66328000,1674079199999,193305632.82048350,199461,4755.24497000,98813348.46148420,0
1674079200000,20780.36000000,20815.00000000,20624.02000000,20805.80000000,6866.48186000,1674082799999,142372950.94837620,185439,3432.97541000,71190143.94977010,0
1674082800000,20805.80000000,20818.01000000,20642.69000000,20677.47000000,9250.77551000,1674086399999,191665102.89051150,221900,4616.26628000,95643847.15779440,0
1674086400000,20677.47000000,20764.64000000,20660.15000000,20694.01000000,10490.32223000,1674089999999,217305499.95457730,273083,5338.61752000,110593196.67657510,0
1674090000000,20694.64000000,20775.85000000,20676.32000000,20716.95000000,8379.63472000,1674093599999,173744792.50986510,233775,4166.63252000,86392312.39877000,0
1674093600000,20716.95000000,20777.82000000,20659.19000000,20763.66000000,8783.78767000,1674097199999,182065750.54944780,231474,4428.16319000,91789151.38971040,0
1674097200000,20763.32000000,20817.85000000,20742.30000000,20748.04000000,9613.76916000,1674100799999,199725088.93686430,237390,4688.38444000,97402788.92019520,0
1674100800000,20748.04000000,20874.81000000,20742.71000000,20810.18000000,8614.82240000,1674104399999,179278640.82193120,213613,4325.08213000,90007304.74239620,0
1674104400000,20810.53000000,20851.14000000,20793.34000000,20814.82000000,6082.19494000,1674107999999,126621234.12654410,170568,3013.53359000,62737858.57890010,0
1674108000000,20814.82000000,20856.00000000,20799.00000000,20828.59000000,6862.69674000,1674111599999,142951383.71636010,198926,3547.23567000,73891509.47048250,0
1674111600000,20829.12000000,20848.83000000,20803.39000000,20818.95000000,7288.91229000,1674115199999,151803903.32633220,201756,3635.09332000,75708344.63676540,0
1674115200000,20818.94000000,20846.75000000,20758.00000000,20769.06000000,9573.54624000,1674118799999,199163920.84920140,230486,4538.51128000,94423363.81699690,0
1674118800000,20769.06000000,20810.00000000,20730.58000000,20795.39000000,8720.29962000,1674122399999,181179279.97268000,227206,4335.11727000,90072218.01034650,0
1674122400000,20794.73000000,20802.97000000,20749.98000000,20796.47000000,7640.40190000,1674125999999,158744397.83534720,197256,3743.91537000,77789779.63337380,0
1674126000000,20796.47000000,20799.83000000,20706.90000000,20743.72000000,9588.19257000,1674129599999,198903350.41893260,238216,4609.09061000,95611659.46104620,0
1674129600000,20744.17000000,20775.71000000,20679.65000000,20727.03000000,10629.26480000,1674133199999,220415747.90624900,249450,5248.80447000,108849058.62600560,0
1674133200000,20728.30000000,20813.98000000,20660.80000000,20776.95000000,14871.00227000,1674136799999,308410080.50635870,319878,7433.56466000,154170891.72732540,0
1674136800000,20776.06000000,20883.80000000,20718.83000000,20799.40000000,17213.76998000,1674140399999,357782184.28287700,328462,8514.93625000,176993164.84529390,0
1674140400000,20799.98000000,20960.23000000,20785.00000000,20876.44000000,18617.72318000,1674143999999,388804075.32235260,344861,8972.69211000,187388153.79006700,0
1674144000000,20876.44000000,20926.84000000,20826.76000000,20875.41000000,11822.69262000,1674147599999,246839944.68476070,244181,5910.58047000,123407264.04706520,0
1674147600000,20874.69000000,20944.71000000,20791.13000000,20841.16000000,11692.45119000,1674151199999,244139234.46765200,238854,5641.65276000,117806000.29874830,0
1674151200000,20841.16000000,21023.11000000,20831.08000000,20977.73000000,12709.10267000,1674154799999,265806499.85898960,263406,6704.07349000,140219759.33479000,0
1674154800000,20978.76000000,21142.07000000,20949.34000000,21090.95000000,15284.71294000,1674158399999,321933607.57446330,303510,7787.65382000,164034382.54483330,0
1674158400000,21092.10000000,21192.00000000,21036.76000000,21102.44000000,14030.55870000,1674161999999,296340433.37389960,289308,6851.88467000,144726212.20419510,0
1674162000000,21102.44000000,21115.28000000,20919.31000000,20932.98000000,8902.78114000,1674165599999,187125103.28459420,213061,4353.27475000,91512231.17210090,0
1674165600000,20933.65000000,21083.57000000,20930.01000000,21065.23000000,6648.58457000,1674169199999,139665307.91255680,175448,3543.62890000,74440211.04570200,0
1674169200000,21065.84000000,21125.43000000,21015.81000000,21071.59000000,7324.62471000,1674172799999,154274867.81836380,195764,3592.11110000,75663056.71734300,0
1674172800000,21071.59000000,21121.42000000,21028.95000000,21054.74000000,9394.96625000,1674176399999,197927428.91811280,256594,4666.66203000,98317853.13596810,0
1674176400000,21054.02000000,21151.67000000,21013.96000000,21117.28000000,9324.69056000,1674179999999,196663730.12750630,221857,4598.13984000,96979021.22352730,0
1674180000000,21116.44000000,21219.60000000,21078.55000000,21079.66000000,11547.13357000,1674183599999,244053236.05801270,256823,5803.12447000,122662412.42841680,0
1674183600000,21079.66000000,21113.61000000,21058.02000000,21087.74000000,6874.54009000,1674187199999,144994917.05746780,187374,3555.16792000,74986065.08051940,0
1674187200000,21087.74000000,21127.33000000,20972.24000000,20991.01000000,9914.72397000,1674190799999,208777000.65522880,238661,4826.61341000,101642383.72497470,0
1674190800000,20991.01000000,21037.78000000,20953.23000000,20982.27000000,10111.85773000,1674194399999,212253647.71751310,233904,5012.19973000,105211534.95709140,0
1674194400000,20983.09000000,20999.80000000,20926.14000000,20943.73000000,8809.62263000,1674197999999,184709416.44899480,220658,4236.13847000,88820489.89855170,0
1674198000000,20943.73000000,20987.00000000,20861.28000000,20959.44000000,9639.22592000,1674201599999,201909531.04816640,243887,4874.97882000,102116547.86449400,0
1674201600000,20958.43000000,20976.35000000,20898.79000000,20946.15000000,8841.85973000,1674205199999,185160234.06481280,226066,4496.09461000,94154108.92580120,0
1674205200000,20946.98000000,20993.99000000,20905.22000000,20959.17000000,8313.07021000,1674208799999,174175897.26437960,220200,4115.24208000,86225940.39018520,0
1674208800000,20959.76000000,20970.30000000,20915.41000000,20962.16000000,8504.89676000,1674212399999,178111402.20314680,213280,4183.83587000,87620120.98333700,0
1674212400000,20962.68000000,20984.87000000,20935.17000000,20963.51000000,7633.03625000,1674215999999,160026921.85954830,205674,3739.70250000,78404737.01807800,0
1674216000000,20963.34000000,21127.28000000,20955.53000000,21089.54000000,13835.90061000,1674219599999,291224226.79279710,296821,6931.94052000,145904982.29937770,0
1674219600000,21088.82000000,21147.00000000,21041.41000000,21058.68000000,12991.81511000,1674223199999,273987445.79389640,294650,6398.26863000,134941747.74552250,0
1674223200000,21059.71000000,21168.69000000,21013.73000000,21153.97000000,18814.44356000,1674226799999,396885782.07346030,370893,9446.68721000,199289196.22083130,0
1674226800000,21153.00000000,21247.55000000,21105.99000000,21144.77000000,18076.41381000,1674230399999,382536522.46398020,382861,8840.24168000,187093638.04741280,0
1674230400000,21145.05000000,21415.64000000,21140.99000000,21313.29000000,20597.49818000,1674233999999,438106321.09121670,418653,10828.32558000,230344115.63017810,0
1674234000000,21313.29000000,21410.00000000,21279.90000000,21353.61000000,15591.76820000,1674237599999,332974281.47901650,326089,7589.73411000,162088731.02026660,0
1674237600000,21353.62000000,21437.30000000,21290.57000000,21384.49000000,16897.42332000,1674241199999,360986072.32394030,322033,8390.41882000,179263041.94114880,0
1674241200000,21385.52000000,21529.00000000,21356.70000000,21496.67000000,15675.31388000,1674244799999,335748759.44584550,324234,7970.33338000,170738715.70491660,0
1674244800000,21496.67000000,22385.41000000,21495.75000000,22288.37000000,38250.58144000,1674248399999,840805979.86671480,696931,20232.55280000,444682929.44550180,0
1674248400000,22288.91000000,22448.00000000,22207.78000000,22315.41000000,20584.70342000,1674251999999,459077698.09965650,434723,10494.69223000,234064998.21784830,0
1674252000000,22316.49000000,22729.99000000,22313.66000000,22595.08000000,22178.63430000,1674255599999,500039516.57435320,461070,11165.46466000,251716151.91329040,0
1674255600000,22593.98000000,22755.93000000,22537.80000000,22667.21000000,15675.01709000,1674259199999,355036920.28276500,328499,7803.48932000,176769434.45368890,0
1674259200000,22666.00000000,22792.86000000,22422.00000000,22576.17000000,20472.44380000,1674262799999,462693303.52575110,452985,10076.95976000,227757795.89850040,0
1674262800000,22576.86000000,22618.78000000,22551.72000000,22563.99000000,9118.09170000,1674266399999,205965441.39935560,246912,4516.60810000,102028343.89583620,0
1674266400000,22563.04000000,22623.21000000,22508.33000000,22551.05000000,9133.08428000,1674269999999,206248372.62662010,223368,4596.02784000,103791518.94073160,0
1674270000000,22551.05000000,22571.40000000,22492.68000000,22547.35000000,7966.30050000,1674273599999,179604621.62861220,211894,3997.60046000,90129979.53739900,0
1674273600000,22547.83000000,22643.65000000,22514.60000000,22597.96000000,8799.63999000,1674277199999,198761165.80472930,225729,4415.38255000,99731261.54259320,0
1674277200000,22597.96000000,22621.39000000,22562.84000000,22573.98000000,6273.14562000,1674280799999,141699414.89172110,178986,2962.11878000,66910987.97436240,0
1674280800000,22573.99000000,22622.99000000,22554.72000000,22620.93000000,7304.81276000,1674284399999,165067799.86248060,216794,3663.96656000,82797483.87514570,0
1674284400000,22620.42000000,22670.00000000,22600.74000000,22638.36000000,8626.60818000,1674287999999,195236840.38669370,243075,4249.98390000,96187825.61925450,0
1674288000000,22638.36000000,22776.31000000,22626.62000000,22700.63000000,14325.75294000,1674291599999,325350201.40360660,334878,6976.75525000,158453127.94479450,0
1674291600000,22700.62000000,23100.00000000,22685.48000000,23037.49000000,21435.26207000,1674295199999,489812811.81575040,449451,11011.72036000,251642252.22066410,0
1674295200000,23037.46000000,23335.77000000,22595.23000000,22777.52000000,49733.13453000,1674298799999,1142651158.51571690,809870,24896.63294000,571969878.39390280,0
1674298800000,22778.51000000,22953.93000000,22652.61000000,22905.65000000,16879.35557000,1674302399999,385211716.66304380,354424,8563.43626000,195438386.16294310,0
1674302400000,22907.01000000,23087.63000000,22888.00000000,23039.50000000,16479.91424000,1674305999999,378864148.29770530,364929,8210.09695000,188757564.70282190,0
1674306000000,23041.12000000,23050.00000000,22851.94000000,22930.04000000,13004.21114000,1674309599999,298490837.15807250,314972,6337.81000000,145473853.51470930,0
1674309600000,22930.87000000,23018.92000000,22875.54000000,22955.26000000,10483.76615000,1674313199999,240539872.66956660,257237,5198.03019000,119273492.64915710,0
1674313200000,22955.80000000,23280.00000000,22930.92000000,22998.90000000,20526.86682000,1674316799999,474703846.81156590,454626,10443.60734000,241513123.13923230,0
1674316800000,22998.90000000,23269.73000000,22980.00000000,23197.45000000,18963.01053000,1674320399999,438761263.11208720,430349,9526.45131000,220431092.39800990,0
1674320400000,23196.43000000,23371.80000000,23126.06000000,23226.65000000,21948.64533000,1674323999999,509943013.31936630,433296,11044.38637000,256658014.47722980,0
1674324000000,23225.17000000,23269.99000000,23053.24000000,23248.52000000,12484.54121000,1674327599999,289380941.78088170,289761,6411.41782000,148614453.80611060,0
1674327600000,23247.40000000,23308.06000000,23174.08000000,23270.50000000,8812.55582000,1674331199999,204857642.84662200,242054,4439.53262000,103210511.25850300,0
1674331200000,23270.97000000,23299.55000000,23080.00000000,23093.38000000,9845.15016000,1674334799999,228237419.75339480,253272,4495.81754000,104225592.40516700,0
1674334800000,23093.38000000,23220.00000000,23009.11000000,23204.64000000,8119.76021000,1674338399999,187922963.89206840,225544,4139.70167000,95820182.79750780,0
1674338400000,23203.41000000,23210.91000000,22737.36000000,22759.71000000,8554.59214000,1674341999999,197356967.12617060,226219,3985.78600000,91976201.18297180,0
1674342000000,22757.14000000,22964.60000000,22680.73000000,22783.55000000,17154.83863000,1674345599999,391573403.24043080,355895,8503.34074000,194123750.06541510,0
